conflict_type,fact_key,metric_label,dimension_label,value_used,value_used_source,value_used_page,other_value,other_source,other_page,resolution
cross_filing_difference,depreciation_amortization_other|FY2024|,"Depreciation, amortization, and other",,20958.0,MSFT-10K-FY2026,53,22287.0,MSFT-10K-FY2025,53,Most recent filing is authoritative (comparative restated / recast). Flagged for review.
cross_filing_difference,depreciation_amortization_other|FY2025|,"Depreciation, amortization, and other",,29433.0,MSFT-10K-FY2026,53,34153.0,MSFT-10K-FY2025,53,Most recent filing is authoritative (comparative restated / recast). Flagged for review.
superseded_member,revenue_by_offering|FY2024|GamingMember,Revenue by product/service offering,Gaming,,MSFT-10K-FY2026,,21503.0,MSFT-10K-FY2025,85,Category renamed/recast in the most recent filing; older member excluded for this period.
superseded_member,revenue_by_offering|FY2025|GamingMember,Revenue by product/service offering,Gaming,,MSFT-10K-FY2026,,23455.0,MSFT-10K-FY2025,85,Category renamed/recast in the most recent filing; older member excluded for this period.
superseded_member,revenue_by_offering|FY2024|SearchAndNewsAdvertisingMember,Revenue by product/service offering,Search and news advertising,,MSFT-10K-FY2026,,12306.0,MSFT-10K-FY2025,85,Category renamed/recast in the most recent filing; older member excluded for this period.
superseded_member,revenue_by_offering|FY2025|SearchAndNewsAdvertisingMember,Revenue by product/service offering,Search and news advertising,,MSFT-10K-FY2026,,13878.0,MSFT-10K-FY2025,85,Category renamed/recast in the most recent filing; older member excluded for this period.
